"Zeit";"Nutzer";"Rolle";"Aktion";"Draft-Version";"Published-Version";"Diff"
"2026-07-15T15:34:10.109Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"SAVE_DRAFT";"15";"2";"{""itemProperties"":{""after"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":{""itemTimeSeconds"":45,""stimulusTimeSeconds"":90},""1c03c830-caea-4ff1-aad1-0eefdc6b7b3c"":{""stimulusTimeSeconds"":90},""359e22e2-8f93-4e8e-bc38-a3d49a0b091e"":{""stimulusTimeSeconds"":90},""71f4b83a-a081-4078-bbd8-a3914390393a"":{""stimulusTimeSeconds"":90},""82788b7a-ac2a-4a45-aef0-ef411d6786f3"":{""stimulusTimeSeconds"":90},""916c3ad3-a73d-400d-8280-300b62f07170"":{""stimulusTimeSeconds"":90},""a6ebc2b3-c86c-4c81-a61b-6cf35d5ae842"":{""stimulusTimeSeconds"":90},""d3b1c6ad-2c33-47ad-8179-0457ff414769"":{""stimulusTimeSeconds"":90},""f9789f66-0f32-4b1f-bf4b-78ad640b89fc"":{""stimulusTimeSeconds"":90},""028e9765-0fe2-43bd-b11c-c7c1fceac757::A"":{""infit"":1.02,""subId"":""A"",""itemUuid"":""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""solutionRate"":0.7,""discrimination"":0.3,""bookletOccurrences"":[{""booklet"":""B1"",""position"":1}],""empiricalDifficulty"":0.5},""028e9765-0fe2-43bd-b11c-c7c1fceac757::B"":{""infit"":0.98,""subId"":""B"",""itemUuid"":""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""solutionRate"":0.8,""discrimination"":0.4,""bookletOccurrences"":[{""booklet"":""B2"",""position"":2}],""empiricalDifficulty"":0.75}},""before"":{}}}"
"2026-07-15T15:34:09.476Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"CSV_UPLOAD_ITEM_PARAMETERS";"14";"1";"{""itemProperties"":{""after"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":{""itemTimeSeconds"":45,""stimulusTimeSeconds"":90},""1c03c830-caea-4ff1-aad1-0eefdc6b7b3c"":{""stimulusTimeSeconds"":90},""359e22e2-8f93-4e8e-bc38-a3d49a0b091e"":{""stimulusTimeSeconds"":90},""71f4b83a-a081-4078-bbd8-a3914390393a"":{""stimulusTimeSeconds"":90},""82788b7a-ac2a-4a45-aef0-ef411d6786f3"":{""stimulusTimeSeconds"":90},""916c3ad3-a73d-400d-8280-300b62f07170"":{""stimulusTimeSeconds"":90},""a6ebc2b3-c86c-4c81-a61b-6cf35d5ae842"":{""stimulusTimeSeconds"":90},""d3b1c6ad-2c33-47ad-8179-0457ff414769"":{""stimulusTimeSeconds"":90},""f9789f66-0f32-4b1f-bf4b-78ad640b89fc"":{""stimulusTimeSeconds"":90},""028e9765-0fe2-43bd-b11c-c7c1fceac757::A"":{""infit"":1.02,""subId"":""A"",""itemUuid"":""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""solutionRate"":0.7,""discrimination"":0.3,""bookletOccurrences"":[{""booklet"":""B1"",""position"":1}],""empiricalDifficulty"":0.5},""028e9765-0fe2-43bd-b11c-c7c1fceac757::B"":{""infit"":0.98,""subId"":""B"",""itemUuid"":""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""solutionRate"":0.8,""discrimination"":0.4,""bookletOccurrences"":[{""booklet"":""B2"",""position"":2}],""empiricalDifficulty"":0.75}},""before"":{}}}"
"2026-07-15T15:34:01.126Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"DISCARD_DRAFT";"13";"1";"{""ui"":{""after"":{},""before"":{""sortDir"":""asc"",""sortField"":""__manual__"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}}},""itemOrder"":{""after"":[],""before"":[""82788b7a-ac2a-4a45-aef0-ef411d6786f3"",""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""359e22e2-8f93-4e8e-bc38-a3d49a0b091e"",""71f4b83a-a081-4078-bbd8-a3914390393a"",""a6ebc2b3-c86c-4c81-a61b-6cf35d5ae842"",""1c03c830-caea-4ff1-aad1-0eefdc6b7b3c"",""f9789f66-0f32-4b1f-bf4b-78ad640b89fc"",""916c3ad3-a73d-400d-8280-300b62f07170"",""d3b1c6ad-2c33-47ad-8179-0457ff414769"",""00578a34-8575-4518-99be-3f601763aa05"",""a4b538e7-a7bc-44f2-9738-5f3f6248586e"",""6ff2501b-a823-4c4e-b635-57ca4a6354fd"",""6c3edc72-71ae-478c-a906-518514b752bd"",""93e79edb-846a-432e-b6fa-11d5a94b5d95"",""8d0aeda9-82e0-4d03-ac2d-1f4ecbe5fad1"",""6d4376ca-3dc7-4737-ba09-a884b583eb5a"",""9a5af3a8-a559-4697-b389-dda436671604"",""685557c2-cc1a-432d-804f-f125e07ff085"",""5d31a6a8-f8ae-4698-87e1-e22198caf123"",""627a13f3-6fc8-40b4-bb56-fcfe0bb3bec5"",""M3_CK12_01""]}}"
"2026-07-15T15:34:00.343Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"ITEM_ORDER_CHANGED";"12";"1";"{""itemOrder"":{""after"":[""82788b7a-ac2a-4a45-aef0-ef411d6786f3"",""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""359e22e2-8f93-4e8e-bc38-a3d49a0b091e"",""71f4b83a-a081-4078-bbd8-a3914390393a"",""a6ebc2b3-c86c-4c81-a61b-6cf35d5ae842"",""1c03c830-caea-4ff1-aad1-0eefdc6b7b3c"",""f9789f66-0f32-4b1f-bf4b-78ad640b89fc"",""916c3ad3-a73d-400d-8280-300b62f07170"",""d3b1c6ad-2c33-47ad-8179-0457ff414769"",""00578a34-8575-4518-99be-3f601763aa05"",""a4b538e7-a7bc-44f2-9738-5f3f6248586e"",""6ff2501b-a823-4c4e-b635-57ca4a6354fd"",""6c3edc72-71ae-478c-a906-518514b752bd"",""93e79edb-846a-432e-b6fa-11d5a94b5d95"",""8d0aeda9-82e0-4d03-ac2d-1f4ecbe5fad1"",""6d4376ca-3dc7-4737-ba09-a884b583eb5a"",""9a5af3a8-a559-4697-b389-dda436671604"",""685557c2-cc1a-432d-804f-f125e07ff085"",""5d31a6a8-f8ae-4698-87e1-e22198caf123"",""627a13f3-6fc8-40b4-bb56-fcfe0bb3bec5"",""M3_CK12_01""],""before"":[]}}"
"2026-07-15T15:34:00.180Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"UI_STATE_CHANGED";"11";"1";"{""ui"":{""after"":{""sortDir"":""asc"",""sortField"":""__manual__"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}},""before"":{}}}"
"2026-07-15T15:33:57.256Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"DISCARD_DRAFT";"10";"1";"{""itemProperties"":{""after"":{},""before"":{""82788b7a-ac2a-4a45-aef0-ef411d6786f3"":{""excluded"":true}}}}"
"2026-07-15T15:33:56.639Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"ITEM_EXCLUSION_CHANGED";"9";"1";"{""itemProperties"":{""after"":{""82788b7a-ac2a-4a45-aef0-ef411d6786f3"":{""excluded"":true}},""before"":{}}}"
"2026-07-15T15:31:02.170Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"DISCARD_DRAFT";"8";"1";"{""ui"":{""after"":{},""before"":{""sortDir"":""asc"",""sortField"":""__manual__"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}}},""tags"":{""after"":{},""before"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":[""Review""]}},""itemProperties"":{""after"":{},""before"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":{""itemTimeSeconds"":45,""stimulusTimeSeconds"":90},""1c03c830-caea-4ff1-aad1-0eefdc6b7b3c"":{""stimulusTimeSeconds"":90},""359e22e2-8f93-4e8e-bc38-a3d49a0b091e"":{""stimulusTimeSeconds"":90},""71f4b83a-a081-4078-bbd8-a3914390393a"":{""stimulusTimeSeconds"":90},""82788b7a-ac2a-4a45-aef0-ef411d6786f3"":{""stimulusTimeSeconds"":90},""916c3ad3-a73d-400d-8280-300b62f07170"":{""stimulusTimeSeconds"":90},""a6ebc2b3-c86c-4c81-a61b-6cf35d5ae842"":{""stimulusTimeSeconds"":90},""d3b1c6ad-2c33-47ad-8179-0457ff414769"":{""stimulusTimeSeconds"":90},""f9789f66-0f32-4b1f-bf4b-78ad640b89fc"":{""stimulusTimeSeconds"":90},""028e9765-0fe2-43bd-b11c-c7c1fceac757::A"":{""infit"":1.02,""subId"":""A"",""itemUuid"":""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""solutionRate"":0.7,""discrimination"":0.3,""bookletOccurrences"":[{""booklet"":""B1"",""position"":1}]},""028e9765-0fe2-43bd-b11c-c7c1fceac757::B"":{""infit"":0.98,""subId"":""B"",""itemUuid"":""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""solutionRate"":0.8,""discrimination"":0.4,""bookletOccurrences"":[{""booklet"":""B2"",""position"":2}]}}}}"
"2026-07-15T15:31:01.842Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"CLEAR_EMPIRICAL_DIFFICULTY";"7";"1";"{""itemProperties"":{""after"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":{""itemTimeSeconds"":45,""stimulusTimeSeconds"":90},""1c03c830-caea-4ff1-aad1-0eefdc6b7b3c"":{""stimulusTimeSeconds"":90},""359e22e2-8f93-4e8e-bc38-a3d49a0b091e"":{""stimulusTimeSeconds"":90},""71f4b83a-a081-4078-bbd8-a3914390393a"":{""stimulusTimeSeconds"":90},""82788b7a-ac2a-4a45-aef0-ef411d6786f3"":{""stimulusTimeSeconds"":90},""916c3ad3-a73d-400d-8280-300b62f07170"":{""stimulusTimeSeconds"":90},""a6ebc2b3-c86c-4c81-a61b-6cf35d5ae842"":{""stimulusTimeSeconds"":90},""d3b1c6ad-2c33-47ad-8179-0457ff414769"":{""stimulusTimeSeconds"":90},""f9789f66-0f32-4b1f-bf4b-78ad640b89fc"":{""stimulusTimeSeconds"":90},""028e9765-0fe2-43bd-b11c-c7c1fceac757::A"":{""infit"":1.02,""subId"":""A"",""itemUuid"":""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""solutionRate"":0.7,""discrimination"":0.3,""bookletOccurrences"":[{""booklet"":""B1"",""position"":1}]},""028e9765-0fe2-43bd-b11c-c7c1fceac757::B"":{""infit"":0.98,""subId"":""B"",""itemUuid"":""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""solutionRate"":0.8,""discrimination"":0.4,""bookletOccurrences"":[{""booklet"":""B2"",""position"":2}]}},""before"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":{""itemTimeSeconds"":45,""stimulusTimeSeconds"":90},""1c03c830-caea-4ff1-aad1-0eefdc6b7b3c"":{""stimulusTimeSeconds"":90},""359e22e2-8f93-4e8e-bc38-a3d49a0b091e"":{""stimulusTimeSeconds"":90},""71f4b83a-a081-4078-bbd8-a3914390393a"":{""stimulusTimeSeconds"":90},""82788b7a-ac2a-4a45-aef0-ef411d6786f3"":{""stimulusTimeSeconds"":90},""916c3ad3-a73d-400d-8280-300b62f07170"":{""stimulusTimeSeconds"":90},""a6ebc2b3-c86c-4c81-a61b-6cf35d5ae842"":{""stimulusTimeSeconds"":90},""d3b1c6ad-2c33-47ad-8179-0457ff414769"":{""stimulusTimeSeconds"":90},""f9789f66-0f32-4b1f-bf4b-78ad640b89fc"":{""stimulusTimeSeconds"":90},""028e9765-0fe2-43bd-b11c-c7c1fceac757::A"":{""infit"":1.02,""subId"":""A"",""itemUuid"":""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""solutionRate"":0.7,""discrimination"":0.3,""bookletOccurrences"":[{""booklet"":""B1"",""position"":1}],""empiricalDifficulty"":0.5},""028e9765-0fe2-43bd-b11c-c7c1fceac757::B"":{""infit"":0.98,""subId"":""B"",""itemUuid"":""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""solutionRate"":0.8,""discrimination"":0.4,""bookletOccurrences"":[{""booklet"":""B2"",""position"":2}],""empiricalDifficulty"":0.75}}}}"
"2026-07-15T15:30:48.410Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"CSV_UPLOAD_ITEM_PARAMETERS";"6";"1";"{""itemProperties"":{""after"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":{""itemTimeSeconds"":45,""stimulusTimeSeconds"":90},""1c03c830-caea-4ff1-aad1-0eefdc6b7b3c"":{""stimulusTimeSeconds"":90},""359e22e2-8f93-4e8e-bc38-a3d49a0b091e"":{""stimulusTimeSeconds"":90},""71f4b83a-a081-4078-bbd8-a3914390393a"":{""stimulusTimeSeconds"":90},""82788b7a-ac2a-4a45-aef0-ef411d6786f3"":{""stimulusTimeSeconds"":90},""916c3ad3-a73d-400d-8280-300b62f07170"":{""stimulusTimeSeconds"":90},""a6ebc2b3-c86c-4c81-a61b-6cf35d5ae842"":{""stimulusTimeSeconds"":90},""d3b1c6ad-2c33-47ad-8179-0457ff414769"":{""stimulusTimeSeconds"":90},""f9789f66-0f32-4b1f-bf4b-78ad640b89fc"":{""stimulusTimeSeconds"":90},""028e9765-0fe2-43bd-b11c-c7c1fceac757::A"":{""infit"":1.02,""subId"":""A"",""itemUuid"":""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""solutionRate"":0.7,""discrimination"":0.3,""bookletOccurrences"":[{""booklet"":""B1"",""position"":1}],""empiricalDifficulty"":0.5},""028e9765-0fe2-43bd-b11c-c7c1fceac757::B"":{""infit"":0.98,""subId"":""B"",""itemUuid"":""028e9765-0fe2-43bd-b11c-c7c1fceac757"",""solutionRate"":0.8,""discrimination"":0.4,""bookletOccurrences"":[{""booklet"":""B2"",""position"":2}],""empiricalDifficulty"":0.75}},""before"":{}}}"
"2026-07-15T15:30:32.905Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"UI_STATE_CHANGED";"5";"1";"{""ui"":{""after"":{""sortDir"":""asc"",""sortField"":""__manual__"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}},""before"":{}}}"
"2026-07-15T15:30:10.249Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"TAGS_CHANGED";"4";"1";"{""tags"":{""after"":{""028e9765-0fe2-43bd-b11c-c7c1fceac757"":[""Review""]},""before"":{}}}"
"2026-07-15T15:29:11.241Z";"iqb-admin";"APP_ADMIN";"DISCARD_DRAFT";"3";"1";"{""ui"":{""after"":{},""before"":{""sortDir"":""desc"",""sortField"":""itemId"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}}}}"
"2026-07-15T15:28:30.481Z";"qa-item-explorer-manager-a-1784128185276";"ACP_MANAGER";"UI_STATE_CHANGED";"2";"1";"{""ui"":{""after"":{""sortDir"":""desc"",""sortField"":""itemId"",""filterText"":"""",""sortIsMeta"":false,""columnFilters"":{}},""before"":{}}}"